RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,Restorative.Sleep..hours.,PPC,MPC,EB,OR,MS,LA,NES,OS,RSI,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,RSI_Level
60,72,79,100,9.95,8.78,8.56,88,19,10.13,7,2.56,1.8,4.41,1.19,0.1,56,17.7734,8.78,4.36,4.6,5.5,4.9,3.5,1.3,1.8,1.5,1,0.324,0,106.625,18.29806892,6.510885332,5140.186819,6709.51,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
65,82,81,74,7.43,6.65,9.02,90,15,8.67,6,1.67,1.11,3.87,0.79,1.2,70.7,17.5781,6.65,2.78,1.7,2.5,2.1,2.3,3.5,3.2,3.5,3.8,0.371,1853.45,715.4416667,69.03266255,8.912214683,18857.58025,6138,2
63,80,25,62,7.2,6.42,10.32,89,14,0,6,1.63,1.16,3.62,0.8,1.52,77,14.0625,6.42,2.79,3.3,2.7,2.2,3.1,3.4,2.7,2.8,2.9,0.378,245.5,144.025,48.61060946,6.944906878,7905.767825,7243.31,2
74,38,75,100,9.27,8.42,8.18,91,15,1.43,4,4.16,2.2,2.06,0.86,0,50.9,16.9189,8.42,6.36,2.7,2,2.9,1.5,4,3.5,2.3,1.7,0.404,2088.7,632.0166667,70.23278712,7.820882795,15501.27474,4337.91,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
49,130,67,55,5.52,5.4,9.89,98,4.2,0,4,1.86,1.54,2,0.13,1.24,66,11.8359,5.4,3.4,4.6,5,3.9,4.9,2.6,1.1,1.9,2.9,0.373,132,136.2083333,61.08285983,4.846987503,2833.562606,6609.72,2
58,93,72,74,7.73,7.2,9.71,93,14,0,4,0.88,1.68,4.63,0.54,1.42,68.4,17.7246,7.2,2.56,3.8,3.8,3.8,2.9,2,2.1,2,1.7,0.381,0,225.1666667,55.5747671,7.372016359,4891.787956,6792.19,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
52,94,71,82,7.67,6.74,8.26,88,17,6.73,7,1.82,1.6,3.33,0.94,1.19,54,15,8.24,3.42,2.3,2.8,2.3,2.5,1.2,2.4,2.3,2.4,0.273,0,265.0333333,7.377240213,9.978112859,7397.683727,6537.8,0
56,46,53,46,5.44,4.82,10.4,88,16,2.39,5,0.62,1.2,3,0.64,1.97,75,14.2969,4.82,1.82,2.6,2.7,2.1,2.3,3.2,3.1,3,4,0.376,1806.7,664.45,63.88947759,7.734966781,16955.98919,6366.47,2
67,58,36,90,8.3,7.78,8.61,94,10.9,0,7,2.74,1.32,3.72,0.54,0.12,75.9,17.8711,7.78,4.06,3.8,2.9,2.7,3,2,2.2,4.2,2.4,0.377,90,105.7,46.40027752,5.891393674,5109.86425,4708.54,2
53,141,71,95,9.02,8.45,8.91,94,11,2.87,8,2.91,1.99,3.55,0.58,0.39,79,16.1719,8.45,4.9,2.2,3.5,2.5,1.9,1.4,1.8,2.9,3.3,0.384,0,180.7333333,23.49931437,8.085076465,9882.067458,6368.16,2
60,64,59,95,8.47,8.17,8.58,96,8,0,6,3.53,1.74,2.9,0.31,0,68,18.0469,8.17,5.27,1.8,2.8,2.1,1.9,3.8,4.2,3.8,3.8,0.365,1390.1,662.4583333,84.84626127,7.652947831,9328.262986,6860.14,2
52,21,19,71,7.33,6.43,9.11,88,14,0,4,0.85,1.17,4.4,0.92,0,73.8,15.2344,6.43,2.02,2.7,3.9,3.9,1.9,1.3,1.7,1.9,3.8,0.467,0,197.0666667,10.6773124,8.613756266,11122.99625,7592.13,3
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
61,96,85,56,4.09,3.89,6.9,95,5.3,0,2,0.99,0.51,2.4,0.2,1.01,40,16.9727,5.82,1.5,2.3,2.6,2.3,2,3.6,2.1,3.5,3.7,0.384,225.8,230.5333333,5.267584714,10.10261288,6195.48986,6096.05,2
62,89,36,78,8.6,7.86,10.11,91,15,0,7,2.11,1.76,3.99,0.75,1.45,66,15.7031,7.86,3.87,4.3,3.4,3.2,3,2,2.1,4.5,2.6,0.398,45,125.95,48.50216839,6.931926159,5907.360564,6360.68,2
71,40,78,88,8.26,7.52,8.59,91,10,10.09,5,3.27,1.59,2.66,0.75,0,65.9,17.1094,7.52,4.86,2.2,2.6,2.4,2.4,3.5,2.7,2.8,3.3,0.343,1564.9,666.6,85.6153339,7.036810465,10444.88967,6183.77,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
61,38,24,71,7.34,6.14,8.67,84,14,0,4,1.78,1.71,2.65,1.21,0.2,55.1,17.168,6.14,3.49,2.2,2.1,2.3,2,3,3.2,2.7,1.3,0.294,245.4,229.7,3.052224003,9.326762466,6827.648721,5563.49,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
47,155,86,79,6.47,6.16,7.84,95,6.9,0,4,1.97,1.84,2.35,0.32,1.74,52,12.1875,8.2,3.81,4.7,4.8,3.9,4,1.4,1.4,1.9,3.1,0.297,14,105.0416667,55.09441224,5.090512864,3489.525294,6775.31,0
76,126,89,75,7.82,7.21,9.6,92,6,0,1,0.2,0,7.01,0.62,1.27,64,18.5156,7.21,0.2,2.4,3.4,2.3,2.1,3.6,3.6,4.6,3.6,0.348,1336.5,674.975,63.13458222,7.26964892,6760.332039,6352.69,1
69,76,33,75,8.64,8,10.66,93,17,0,5,2.4,1.32,4.28,0.64,1.9,37,18.1055,8,3.72,1.6,2.5,2.5,2,1.6,1.9,2.7,3.9,0.294,62,211.85,20.35118063,8.37240951,6847.144322,5980.5,0
50,110,86,95,9.8,8.76,9.23,89,17,0,8,2.48,1.62,4.66,1.05,0.89,38,14.7949,8.76,4.1,4.8,5.4,4.6,4.5,1.4,1.1,1,1,0.361,0,204.05,48.74943294,6.687741507,5537.238375,6372.1,2
57,50,65,91,11.17,9.5,10.44,85,30,0,10,1.87,1.58,6.05,1.69,2.07,56,14.3555,9.5,3.45,2.6,2.8,2.6,3.5,2.8,2.3,2.8,2.6,0.292,182,192.125,48.4131275,6.854573062,3623.46521,5950.92,0
62,99,94,99,8.95,8.55,8.62,96,10,0,5,3.03,0.92,4.61,0.41,0.38,90,17.2852,8.55,3.95,2.4,3.1,2.5,2.2,4,3.7,4,3.7,0.382,1882.6,657.0083333,79.9237595,7.11476872,16187.37446,6384.6,2
47,158,82,82,8.37,7.02,8.61,84,17,2.88,6,1.7,1.53,3.79,1.36,0.25,64,15.5859,7.02,3.23,4.2,4.2,3.3,3.5,3.6,2.7,3.3,3.6,0.365,239.7,134.5,50.04414393,5.480237427,2724.202411,6087.28,2
64,59,46,100,8.08,7.59,7.48,94,12.4,2.39,7,2.34,1.41,3.84,0.51,0.25,69,18.2227,8.66,3.75,3.8,2.8,2.8,3,2,2,4.5,2.7,0.377,97.5,94.5,42.23418704,5.47623009,3298.040675,4778.26,2
53,46,58,90,9.24,8.74,9.71,95,11,2.4,8,3.18,1.17,4.38,0.51,1.11,69.5,15.918,8.74,4.35,2.1,2.4,2.6,2,1.3,1.4,3.7,3,0.337,426.5,267.75,42.47195803,8.035932533,8629.560813,6292.25,1
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
65,71,60,86,9.26,8.25,9.59,89,16,2.4,8,2.43,1.5,4.32,1.03,1.7,46,17.3438,8.25,3.93,3.4,2.6,2.4,3.1,2,1.9,4.1,2.5,0.316,0,151.9,50.37935476,5.356342567,3625.650607,5443.51,0
61,95,44,72,7.32,7.01,9.76,96,6,0,6,2.97,1.06,2.98,0.32,1.08,79,15.2344,7.01,4.03,2.1,3.5,2.3,1.9,3.1,3.6,2.3,2.9,0.369,1962.25,662.0583333,78.3764725,8.590486399,18630.13561,6275.22,2
85,20,12,57,5.29,4.85,8.57,92,11,0,3,2.01,1.15,1.69,0.44,0.46,74.9,17.9492,4.85,3.16,4.3,4.7,4.3,4.3,1.8,1.8,1.4,1.9,0.394,0,116.2833333,48.35496138,5.550373341,6147.890763,3726.81,2
62,81,45,99,9.86,9.11,9.16,92,16,0,6,2.56,1.93,4.61,0.76,1.41,57.3,18.3008,9.11,4.49,3,3.6,3.4,3,2.7,3.4,2.5,3.9,0.327,1422.8,667.0083333,186.919249,3.615787481,5179.750272,6694.82,1
75,41,24,81,8.63,7.75,9.62,90,14,0,3,1.41,1.43,4.91,0.89,1.11,41.1,17.8125,7.75,2.84,1.8,2.7,2.5,1.7,3.3,2.7,3.5,3.7,0.316,271,218.025,9.416185034,9.260301163,10657.88644,5855.96,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
46,142,79,86,7.64,7.05,8.22,92,7,0,5,2.31,2.08,2.66,0.6,1.05,46,12.1289,8.25,4.39,4,4.8,4.5,3.3,1.5,1.9,1.7,2.2,0.307,0,100.0416667,57.62705608,5.561179291,3489.525294,6504.68,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
70,83,45,100,13.97,12.32,10.14,88,24,0,9,1.54,1.65,9.13,1.66,1.24,37.9,17.417,12.32,3.19,3.1,3.5,2.7,3.3,3.1,3,3,3.1,0.342,3171.2,866.22,197.0146203,4.266751151,15153.3818,6833.69,1
60,70,45,84,9.03,7.42,8.87,82,20,2.4,6,2.03,2.05,3.33,1.62,0.25,50,15.7324,7.42,4.08,3.1,2.6,2.8,2.9,1.5,2,4.1,3.2,0.295,0,181.55,48.37075329,5.933828202,2902.191672,5970.38,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
69,44,25,64,6.21,5.54,8.63,89,7,8.65,4,1.8,1.46,2.28,0.68,0.05,67,17.7539,5.54,3.26,2.2,2.2,1.8,2.3,3.6,3.7,4.4,3.8,0.361,1959,651.475,71.60627091,9.296976833,17995.67445,5872.74,2
47,129,54,85,8.43,7.69,9.05,91,16,0,3,0.84,1.65,5.19,0.75,0.69,77,16.2305,7.69,2.49,2.3,3.8,3.5,2.1,1.2,2.2,2.9,3.4,0.369,0,240.5666667,11.15866876,9.485169903,9551.857822,6440.68,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
50,60,76,82,8.63,7.53,9.2,87,19,5.75,6,3.03,1.14,3.36,1.12,0.49,61.1,14.9414,7.53,4.17,3.4,3.1,2.4,3,3.8,2.9,2.7,2.7,0.31,2588.05,676.1816667,166.9633916,4.068676765,10129.38007,6307.47,0
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
53.4,134.6,73.7,77.8,8.083,7.198,9.429,89,14.9,0.431,6,2.267,1.359,3.553,0.906,0.974,75.1,16.09423,7.199,3.906,4,5,4,3.9,2,2.2,2.4,2.5,0.407,0,138.825,53.08073346,4.618871896,4975.489665,6370.5,2
73,36,27,100,13.14,10.82,8.87,82,25,0,13,2.7,3.05,5.07,2.34,0.7,23,17.2461,10.82,5.75,3,3.2,3,3.2,2.7,2.8,3.3,3.3,0.338,3249.1,777.74,164.3907792,4.425787062,15711.13866,4466.82,1
63,101,48,70,7.8,7.14,10.14,91,18,0,5,2.59,1.46,3.09,0.67,1.38,85,15.4102,7.14,4.05,6,6,6,5.3,1.7,1,1,1,0.377,0,133.1583333,55.40626624,4.259736262,4855.41546,6323.86,2
74,36,67,77,8.79,7.84,10.14,89,20,7.26,9,3.38,1.92,2.54,0.96,1.63,59,17.1094,7.84,5.3,2,2.4,2.8,1.8,3.1,2.3,2.4,3.3,0.298,308.7,293.7,40.54627249,7.415852469,5974.047181,5572.59,0
65,84,44,100,9.58,9.12,8.72,95,10.8,2.4,9,2.96,1.86,4.3,0.47,0.05,77.8,18.0469,9.12,4.82,1.5,3.3,2.2,2.3,3.7,3.2,2.4,1.9,0.396,1167.2,719.75,82.21868768,7.12337473,12542.5163,6797.78,2
77,71,55,76,7.75,7.16,9.39,92,11,10.61,6,2.13,1.57,3.46,0.59,0.94,78.9,17.6953,7.16,3.7,1.8,2.8,2.1,1.8,4.2,3.9,4.4,4.1,0.392,2140.2,724.6166667,72.7520603,9.479074289,25335.52509,5634.32,2
